sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,species_id,species,sepal_area_cm2,petal_area_cm2,sepal_aspect_ratio,petal_aspect_ratio
5.1,3.5,1.4,0.2,0,setosa,17.849999999999998,0.27999999999999997,1.457142857142857,6.999999999999999
4.9,3.0,1.4,0.2,0,setosa,14.700000000000001,0.27999999999999997,1.6333333333333335,6.999999999999999
4.7,3.2,1.3,0.2,0,setosa,15.040000000000001,0.26,1.46875,6.5
4.6,3.1,1.5,0.2,0,setosa,14.26,0.30000000000000004,1.4838709677419353,7.5
5.0,3.6,1.4,0.2,0,setosa,18.0,0.27999999999999997,1.3888888888888888,6.999999999999999
5.4,3.9,1.7,0.4,0,setosa,21.060000000000002,0.68,1.3846153846153848,4.25
4.6,3.4,1.4,0.3,0,setosa,15.639999999999999,0.42,1.352941176470588,4.666666666666667
5.0,3.4,1.5,0.2,0,setosa,17.0,0.30000000000000004,1.4705882352941178,7.5
4.4,2.9,1.4,0.2,0,setosa,12.76,0.27999999999999997,1.517241379310345,6.999999999999999
4.9,3.1,1.5,0.1,0,setosa,15.190000000000001,0.15000000000000002,1.5806451612903227,15.0
5.4,3.7,1.5,0.2,0,setosa,19.980000000000004,0.30000000000000004,1.4594594594594594,7.5
4.8,3.4,1.6,0.2,0,setosa,16.32,0.32000000000000006,1.411764705882353,8.0
4.8,3.0,1.4,0.1,0,setosa,14.399999999999999,0.13999999999999999,1.5999999999999999,13.999999999999998
4.3,3.0,1.1,0.1,0,setosa,12.899999999999999,0.11000000000000001,1.4333333333333333,11.0
5.8,4.0,1.2,0.2,0,setosa,23.2,0.24,1.45,5.999999999999999
5.7,4.05,1.5,0.4,0,setosa,23.085,0.6000000000000001,1.4074074074074074,3.75
5.4,3.9,1.3,0.4,0,setosa,21.060000000000002,0.52,1.3846153846153848,3.25
5.1,3.5,1.4,0.3,0,setosa,17.849999999999998,0.42,1.457142857142857,4.666666666666667
5.7,3.8,1.7,0.3,0,setosa,21.66,0.51,1.5000000000000002,5.666666666666667
5.1,3.8,1.5,0.3,0,setosa,19.38,0.44999999999999996,1.3421052631578947,5.0
5.4,3.4,1.7,0.2,0,setosa,18.36,0.34,1.5882352941176472,8.5
